iter	Accuracy	Logloss
713	0.7174672077	0.5572768687
714	0.7175143909	0.5572695248
715	0.7176559404	0.5571963378
716	0.7177974899	0.5570678604
717	0.7179862225	0.5569781231
718	0.718127772	0.556867603
719	0.7180334057	0.556842174
720	0.718127772	0.5568071314
721	0.718127772	0.5567704136
722	0.718127772	0.5567141882
723	0.7180805888	0.556679325
724	0.7180805888	0.5565813215
725	0.718410871	0.5565057849
726	0.718410871	0.556415662
727	0.718410871	0.5563402043
728	0.7182693215	0.5562559939
729	0.7182221383	0.5561859769
730	0.7178918562	0.5561633543
731	0.7179862225	0.5560932015
732	0.7180334057	0.556076236
733	0.718410871	0.5559920999
734	0.71869397	0.5558459951
735	0.71869397	0.555726289
736	0.7188355195	0.5556416431
737	0.7188355195	0.5555686054
738	0.7188827027	0.555519677
739	0.7191658016	0.5554400286
740	0.7190714353	0.5553906517
741	0.7189298858	0.5553613469
742	0.7194489006	0.5552151401
743	0.719260168	0.5551067999
744	0.7194489006	0.5550587161
745	0.7195904501	0.555008047
746	0.7196848165	0.5549340705
747	0.7197319996	0.5549106831
748	0.7193545343	0.5548415966
749	0.7196376333	0.554773903
750	0.7199207323	0.5546757364
751	0.719826366	0.5545944072
752	0.7199679154	0.5544630559
753	0.7201094649	0.5543222031
754	0.7203453808	0.5542484337
755	0.7201566481	0.5541823568
756	0.7204397471	0.5541286675
757	0.7202981976	0.5540333105
758	0.7200622818	0.5539187322
759	0.7202510144	0.5538418637
760	0.7202981976	0.5537063467
761	0.7203453808	0.5536839068
762	0.7203453808	0.5536648768
763	0.7204397471	0.5536237564
764	0.7203925639	0.5536113516
765	0.7206284798	0.5535356891
766	0.7205812966	0.5534334095
767	0.7210531282	0.5533157425
768	0.7210531282	0.5532538883
769	0.7209587619	0.5531664453
770	0.7212418609	0.5531211828
771	0.7211946777	0.5530183753
772	0.7211474946	0.5529388136
773	0.7211946777	0.5528759493
774	0.7212418609	0.5528149806
775	0.7211474946	0.552799396
776	0.7211474946	0.5527533285
777	0.7211003114	0.5526232972
778	0.7216665094	0.5525296618
779	0.7217608757	0.552444045
780	0.7220911579	0.5523316399
781	0.7220439747	0.5522872556
782	0.7219024252	0.5522510719
783	0.7219496084	0.5521971225
784	0.7217608757	0.55213427
785	0.7219024252	0.5521238015
786	0.722138341	0.5520728002
787	0.7220911579	0.552030587
788	0.722138341	0.5519528768
789	0.7223742569	0.5518317137
790	0.7222798905	0.5517119118
791	0.72242144	0.5516366472
792	0.7222798905	0.5515338971
793	0.7226101727	0.5514737912
794	0.7226101727	0.551357181
795	0.7226573559	0.5513194522
796	0.7226573559	0.551237939
797	0.722704539	0.5511832286
798	0.7231291875	0.5510524029
799	0.7230820043	0.55095927
800	0.7230820043	0.5509123169
801	0.7233651033	0.5508258703
802	0.7233179202	0.5508109907
803	0.7236010192	0.5507223707
804	0.7236482023	0.5506803134
805	0.7236953855	0.5506042405
806	0.723836935	0.5505411854
807	0.7238841181	0.5504097306
808	0.7239784845	0.5503141664
809	0.7237897518	0.5501895404
810	0.7237897518	0.5501875597
811	0.7242144003	0.5500601663
812	0.7242144003	0.5500363425
813	0.7242615835	0.5499426057
814	0.7243559498	0.5498651228
815	0.7243087666	0.5498165344
816	0.7240728508	0.5496745474
817	0.7241672171	0.5495909641
818	0.724403133	0.54947885
819	0.7243087666	0.5493697547
820	0.724403133	0.5492501644
821	0.724403133	0.5491607858
822	0.7243087666	0.5490939795
823	0.7244503161	0.5490168385
824	0.7249221478	0.5489338873
825	0.7247805983	0.5488962936
826	0.7249221478	0.5488294902
827	0.7252524299	0.5487017862
828	0.7254883458	0.5486389792
829	0.7254411626	0.5485602617
830	0.7254411626	0.5485234588
831	0.7255827121	0.5484576464
832	0.7256298953	0.5483965487
833	0.7256770784	0.5483098179
834	0.7257242616	0.5482038098
835	0.7256298953	0.5481427052
836	0.7256770784	0.5480877092
837	0.7258658111	0.5480124744
838	0.7260073606	0.5479545694
839	0.7260073606	0.5479042262
840	0.7258186279	0.5478111914
841	0.7258186279	0.5478109174
842	0.7257714447	0.5477286043
843	0.7262904596	0.5476519963
844	0.7261489101	0.5476212081
845	0.7262904596	0.5475706479
846	0.7261960932	0.5474989867
847	0.7264320091	0.54741403
848	0.7264791922	0.547372201
849	0.7266679249	0.5473128493
850	0.7265735586	0.5472411365
851	0.7267622912	0.5471088869
852	0.726715108	0.5470253792
853	0.7266679249	0.5469494318
854	0.7263848259	0.5468513741
855	0.7264320091	0.5467689521
856	0.7266679249	0.5466948224
857	0.7270453902	0.5466062067
858	0.7267622912	0.5465365852
859	0.726998207	0.5464741447
860	0.7271869397	0.5463975974
861	0.7273284892	0.5463474103
862	0.7274228555	0.5462726848
863	0.7274228555	0.5462238747
864	0.7275172219	0.5461645706
865	0.7276115882	0.5460514893
866	0.7278003208	0.5459847126
867	0.7278003208	0.5458499762
868	0.7282721525	0.5457651011
869	0.7285552515	0.5456563626
870	0.7286024347	0.5456186281
871	0.7285552515	0.5455107328
872	0.728413702	0.5454495717
873	0.7284608852	0.545388093
874	0.7284608852	0.5453647031
